City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,lihue,21.9789,-159.3672,26.58,80,75,8.75,US,1699815354
135,arkalyk,50.2486,66.9114,4.25,91,100,2.77,KZ,1699815354
136,kabalo,-6.05,26.9167,21.57,96,100,2.04,CD,1699815354
137,luderitz,-26.6481,15.1594,20.23,53,0,9.74,NA,1699815354
138,mpraeso,6.5932,-0.7346,24.76,69,1,1.38,GH,1699815354
139,antsiranana,-12.2787,49.2917,25.6,79,31,6.95,MG,1699815355
140,primero de mayo,-32.2552,-58.4228,23.08,85,100,2.03,AR,1699815355
141,saint croix,17.7397,-64.7388,32.25,74,20,9.26,VI,1699815355
142,hithadhoo,-0.6,73.0833,27.35,80,63,2.65,MV,1699815355
143,prince george,53.9166,-122.753,0.34,86,0,1.54,CA,1699815355
144,mount gambier,-37.8333,140.7667,6.95,95,37,0.47,AU,1699815355
145,pyapon,16.2833,95.6833,25.09,92,100,2.31,MM,1699815355
146,bowen,-20.0167,148.2333,21.89,79,57,3.97,AU,1699815086
147,thompson,55.7435,-97.8558,-1.91,93,100,2.06,CA,1699815356
148,kovernino,57.1253,43.8142,4.47,91,100,6.36,RU,1699815356
149,raduzhny,62.0961,77.475,-0.49,98,100,3.69,RU,1699815356
150,cordoba,-31.4135,-64.1811,21.47,24,0,8.75,AR,1699815326
151,wailua homesteads,22.0669,-159.378,26.24,84,75,8.75,US,1699815356
152,murzuq,25.9155,13.9184,22.55,24,0,3.95,LY,1699815356
153,nuuk,64.1835,-51.7216,-4.66,68,20,1.54,GL,1699815357
154,polyarnyy,69.1989,33.4478,-7.37,97,88,4.82,RU,1699815357
155,dongola,19.1667,30.4833,29.94,20,86,1.76,SD,1699815357
156,port lincoln,-34.7333,135.8667,12.73,83,57,5.02,AU,1699815357
157,komsomolets,53.7453,62.0708,5.23,84,100,1.27,KZ,1699815357
158,darnah,32.767,22.6367,21.34,79,65,3.18,LY,1699815318
159,aasiaat,68.7098,-52.8699,-13.26,84,99,3.28,GL,1699815358
160,klyuchi,52.2667,79.1667,5.36,85,99,4.91,RU,1699815358
161,mombetsu,44.3525,143.3525,-0.25,84,98,2.6,JP,1699815358
162,uturoa,-16.7333,-151.4333,27.11,81,12,4.12,PF,1699815358
163,zeya,53.75,127.2667,-3.62,42,15,4.13,RU,1699815358
164,gizo,-8.103,156.8419,27.23,78,100,5.43,SB,1699815358
165,portland,45.5234,-122.6762,12.41,88,100,4.63,US,1699815067
166,chegdomyn,51.1167,133.0167,-14.23,97,100,0.19,RU,1699815359
167,qui nhon,13.7667,109.2333,25.46,89,98,5.07,VN,1699815359
168,tual,-5.6667,132.75,27.84,79,67,5.31,ID,1699815196
169,puerto ayora,-0.7393,-90.3518,28.98,88,34,3.58,EC,1699815359
170,mersa matruh,31.3525,27.2453,22.11,68,40,1.54,EG,1699815359
171,xunchang,28.4543,104.715,9.27,86,100,1.2,CN,1699815359
172,lompoc,34.6391,-120.4579,26.99,38,12,5.81,US,1699815199
173,rouissat,31.9243,5.3502,22.04,37,0,0.0,DZ,1699815360
174,mokopane,-24.1944,29.0097,27.44,27,71,4.3,ZA,1699815260
175,bosaso,11.2842,49.1816,27.45,79,21,1.89,SO,1699815360
176,singarayakonda,15.25,80.0333,25.63,78,100,2.62,IN,1699815360
177,fort irwin,35.2627,-116.6848,15.9,9,4,2.33,US,1699815360
178,hilo,19.7297,-155.09,27.01,70,21,1.79,US,1699815360
179,ust'-talovka,50.5493,81.85,2.91,89,95,5.86,KZ,1699815361
180,vilyuchinsk,52.9306,158.4028,-2.26,83,56,3.1,RU,1699815361
181,rongelap,11.1635,166.8941,27.62,82,100,8.84,MH,1699815361
182,tippi,7.2,35.45,17.92,95,4,1.52,ET,1699815361
183,hermanus,-34.4187,19.2345,15.84,77,0,3.51,ZA,1699815340
184,ulsteinvik,62.3432,5.8487,4.06,74,0,3.13,NO,1699815361
185,koz'modem'yansk,56.3367,46.5711,4.2,89,100,7.9,RU,1699815361
186,broome,42.2506,-75.833,5.05,70,100,4.12,US,1699815362
187,weno,7.4515,151.8468,25.97,100,100,2.57,FM,1699815362
188,taltal,-25.4,-70.4833,20.01,62,19,4.01,CL,1699815362
189,banda aceh,5.5577,95.3222,26.45,82,100,2.9,ID,1699815362
190,novyy turtkul',41.55,61.0167,4.95,43,13,4.02,UZ,1699815363
